Item,Cost,Link,Notes
LED progress bar,$12.50,https://www.adafruit.com/product/3811,
LED light,$0.00,N/A,I already have this!
Raspbery pi 02w,$20.00,https://www.adafruit.com/product/5291,For octopi
3d printed parts,$0.00,https://github.com/Learning-howto-Code/Ender3-revamp,Printed on my Ender
Camera Module 2,$0.00,https://www.adafruit.com/product/3099?src=raspberrypi,"It's outdated, but I already have it"
Micro sd cable(Male to Male,$3.00,https://www.aliexpress.us/item/3256805347144024.html?spm=a2g0o.cart.0.0.686738dagg8uAe&mp=1&pdp_npi=5%40dis%21USD%21USD%202.44%21USD%202.42%21%21USD%202.42%21%21%21%402101c59117643545548583090e588c%2112000033440598654%21ct%21US%216443902790%21%211%210&_gl=1*1vik8h5*_gcl_aw*R0NMLjE3NjQzNTQ0NjguQ2p3S0NBaUFyYVhKQmhCSkVpd0FqejdNWlpSbkl0LVlvRUdkVjJKd0lVT01HeGtWVldsc0JjaVJsbW5sMHVMVERRT0ZvYW83ampwWnpSb0NmTUlRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NjQzNTQ0NjguQ2p3S0NBaUFyYVhKQmhCSkVpd0FqejdNWlpSbkl0LVlvRUdkVjJKd0lVT01HeGtWVldsc0JjaVJsbW5sMHVMVERRT0ZvYW83ampwWnpSb0NmTUlRQXZEX0J3RQ..*_gcl_au*MTA3MDkyNjg1MS4xNzYwMzg4MTk4*_ga*MTgwNzEyNjc2NzE1NzA5Mi4xNzUxMDU1NDI1MDI3*_ga_VED1YSGNC7*czE3NjQzNTM0MDQkbzUkZzEkdDE3NjQzNTQ1NTckajUxJGwwJGgw&gatewayAdapt=glo2usa,How octopi connects to the printer
Sd card,$3.30,https://www.aliexpress.us/item/3256809364275848.html?spm=a2g0o.productlist.main.9.25b815despKHf1&algo_pvid=9c7bee0b-b064-4436-8c86-c82be3438574&algo_exp_id=9c7bee0b-b064-4436-8c86-c82be3438574-8&pdp_ext_f=%7B%22order%22%3A%22959%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.61%213.35%21%21%2125.41%2123.57%21%402101e2b017643783336635230ef7b5%2112000049440471412%21sea%21US%216443902790%21X%211%210%21n_tag%3A-29919%3Bd%3A85f6b3f3%3Bm03_new_user%3A-29895&curPageLogUid=IL9HwmTaZn7N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009550590600%7C_p_origin_prod%3A,Actually legit SD card from Kodak
Rpi power supply,$7.00,https://www.amazon.com/Adapter-Charger-Charging-Travel-iPhone/dp/B0DQ43LMRH/ref=sr_1_5?crid=21AI1N6VSUUPY&dib=eyJ2IjoiMSJ9.lTDbYcudxZB2DBizysAOaPCJHfh1iRCti6CM5o6dbUQCN1uK2WXmW681CaeyigIlFspSgzPpQzaTQHsxQx8nSFpwOtiUPhKcZAuUQv8SR3hjZ0jn8tZ0K6IHctpuj7H1yvE-FzJVYuPysAabT3j7U3uElwh6i0WwuShSmiUzhcsAajfE9vuElDcqMLlnLN7D9T7rvCAo-iUpt50Wi6wqZbMpl_2UgxNJGBEKkI8Q2P8.gdSxWoqrjkVQejCoYNj8WV1r4aGX8q5I4jb1c3oGsIM&dib_tag=se&keywords=5v+2a+power+adapter&qid=1764378140&sprefix=5v+2a%2Caps%2C469&sr=8-5,
Rpi power cord,$2.00,https://www.aliexpress.us/item/3256806199963909.html?spm=a2g0o.productlist.main.6.759d141fLtuood&aem_p4p_detail=202511290737383617857225050800001769245&algo_pvid=7f7e7499-03ec-4ff5-8398-5793ad1da05d&algo_exp_id=7f7e7499-03ec-4ff5-8398-5793ad1da05d-5&pdp_ext_f=%7B%22order%22%3A%221091%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.45%211.68%21%21%2138.35%2111.80%21%40210328c017644306581066772e0d56%2112000037006862041%21sea%21US%216443902790%21X%211%210%21n_tag%3A-29919%3Bd%3A85f6b3f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000194138700&curPageLogUid=UY84MQM0eKyB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006386278661%7C_p_origin_prod%3A&search_p4p_id=202511290737383617857225050800001769245_2,
,,,
,,,
,,,
,,,
Total,$47.80,,
